"host","scutum.width"
"Rabbit1",380
"Rabbit1",376
"Rabbit1",360
"Rabbit1",368
"Rabbit1",372
"Rabbit1",366
"Rabbit1",374
"Rabbit1",382
"Rabbit2",350
"Rabbit2",356
"Rabbit2",358
"Rabbit2",376
"Rabbit2",338
"Rabbit2",342
"Rabbit2",366
"Rabbit2",350
"Rabbit2",344
"Rabbit2",364
"Rabbit3",354
"Rabbit3",360
"Rabbit3",362
"Rabbit3",352
"Rabbit3",366
"Rabbit3",372
"Rabbit3",362
"Rabbit3",344
"Rabbit3",342
"Rabbit3",358
"Rabbit3",351
"Rabbit3",348
"Rabbit3",348
"Rabbit4",376
"Rabbit4",344
"Rabbit4",342
"Rabbit4",372
"Rabbit4",374
"Rabbit4",360
